id,gene,biotype,logFC,logCPM,F,PValue,FDR,mC_1,mC_2,mC_3,mdlc_1,mdlc_2,mdlc_3,Prp19_1,Prp19_2,Prp19_3
FBgn0040361,CG14627,protein_coding,1.336699034,2.668611795,114.7923368,5.52E-08,3.04E-07,2.599239922,2.546503724,2.404042944,6.308012649,6.284808778,6.497572712,9.548615283,9.249873326,12.01396404
FBgn0067628,CG33331,protein_coding,1.337888515,1.853932356,66.04997905,1.44E-06,5.16E-06,2.103570914,1.73864737,2.404042944,4.951682284,4.777531298,6.110812432,3.182871761,3.051504603,3.805219687
FBgn0034828,CG13545,protein_coding,1.338167494,1.764117195,54.31652439,4.31E-06,1.36E-05,1.910139106,2.564065819,1.57447883,5.511437673,5.221639841,4.525095282,2.578823106,3.26606352,2.800067317
FBgn0031036,CG14220,protein_coding,1.338618506,4.222794184,226.7187666,7.77E-10,1.03E-08,11.71471388,10.62506726,11.34301953,27.32036878,30.07826043,27.80806417,17.37801516,16.16343844,15.00548895
FBgn0024556,mEFTu1,protein_coding,1.338889995,6.49612888,244.6876684,4.76E-10,7.18E-09,56.34910361,53.07265003,45.2874287,125.9808442,135.2445092,130.2221864,95.36998963,85.51364851,84.88751087
FBgn0085451,htk,protein_coding,1.340138906,6.772522547,265.0090523,2.85E-10,5.05E-09,59.70998128,69.10684245,59.45773817,152.1386441,172.3948618,152.0161282,112.4924457,102.4399631,103.6982195
FBgn0086658,snoRNA:Psi28S-1180,snoRNA,1.340813529,1.59179254,25.48222053,0.000268561,0.000558827,1.680438833,0.667359597,1.50675931,3.322650576,3.700904527,2.78467402,4.135410025,4.267338468,5.02576185
FBgn0032030,Wdr82,protein_coding,1.341353527,4.569292639,219.490794,9.56E-10,1.21E-08,15.89767673,12.64470815,14.44118755,34.63307058,35.60943046,38.79205613,20.3750258,20.43077691,20.2705728
FBgn0261380,mRpL37,protein_coding,1.342648045,4.302364792,228.7875304,7.33E-10,9.92E-09,12.06530903,10.15089071,11.8678458,27.48542485,29.65433863,29.35510529,18.79520624,19.42950196,18.28420025
FBgn0037712,CG16789,protein_coding,1.344301536,2.481076818,119.3590941,4.35E-08,2.47E-07,3.324609203,3.951471296,3.385975978,8.640326768,8.787966021,9.649668998,4.205107947,4.028939671,3.589829893
FBgn0031232,CG11617,protein_coding,1.345625701,1.976559219,59.3997096,2.62E-06,8.75E-06,2.466255554,3.143614942,2.691850902,7.004118709,7.819001927,6.226840516,2.067705013,1.263513624,1.67525395
FBgn0261803,CG42749,protein_coding,1.34863261,2.47677786,91.05428799,2.23E-07,1.02E-06,2.176107842,2.915307712,2.319393545,6.415657916,5.497525451,6.961685049,8.363750613,7.914840063,7.610439373
FBgn0284416,lncRNA:TS9,ncRNA,1.35187581,1.282767186,42.34869515,1.64E-05,4.47E-05,1.438649073,1.984516696,1.642198349,4.564159323,4.9726699,3.326138412,1.208097311,0.81055591,0.861559174
FBgn0051223,CG31223,protein_coding,1.353144786,2.580454438,120.1953196,4.17E-08,2.38E-07,4.037888995,3.442170552,3.927732134,10.11147875,9.689640942,9.359598788,4.692993399,3.719021234,4.068473879
FBgn0031078,Nup205,protein_coding,1.354688831,5.458114687,415.7861469,1.52E-11,7.82E-10,25.84732536,26.43095245,24.71762464,66.53195138,66.56917906,63.79610827,40.37832935,38.8828438,41.92921315
FBgn0037569,tex,protein_coding,1.355028715,3.856426241,157.3602807,7.86E-09,6.04E-08,8.861594711,10.11576652,8.634238744,20.43824804,24.43942771,25.77757269,10.22236186,10.46570719,10.72162528
FBgn0030365,Tango4,protein_coding,1.355525777,3.437154035,147.3512152,1.18E-08,8.39E-08,6.322802229,6.26966779,5.095893847,14.44599484,15.59090143,15.25769307,11.50015709,12.15833865,10.45837109
FBgn0038055,trus,protein_coding,1.356580335,4.619762491,226.6055173,7.80E-10,1.03E-08,14.47111715,13.08376051,14.83057478,32.78157199,39.4314555,36.35546637,24.76599487,23.12468332,21.92189455
FBgn0037449,CG15185,protein_coding,1.357545776,3.689381446,156.2698853,8.21E-09,6.23E-08,6.697576357,6.53309921,6.704232436,14.42446578,18.45742021,18.23574722,14.63656357,15.49592181,14.69437036
FBgn0051368,CG31368,protein_coding,1.360002586,5.846709307,368.0402219,3.37E-11,1.23E-09,34.06817721,36.37109802,35.58660753,84.75270692,92.38803482,95.02700092,47.41781945,47.96583797,43.7241281
FBgn0052673,Rab9E,protein_coding,1.360055806,4.123298959,167.7092144,5.27E-09,4.44E-08,9.212189863,9.009354556,9.362223579,20.38083723,25.66409066,24.79133398,21.21140086,19.09574365,17.82948847
FBgn0037715,CG9399,protein_coding,1.365044143,4.370695816,226.6668179,7.78E-10,1.03E-08,12.1015775,10.76556402,11.10600121,28.60493563,27.20501273,31.79169506,20.30532788,21.07445366,22.87918252
FBgn0038746,Surf6,protein_coding,1.367195899,4.272279582,131.0933524,2.45E-08,1.52E-07,14.43484868,13.03107423,12.4603916,31.93476256,41.55106446,29.49047139,10.47792091,9.607471522,9.812201707
FBgn0001079,fu,protein_coding,1.367939273,2.764906486,160.1686606,7.03E-09,5.54E-08,3.844457187,4.197340622,4.300189492,10.4272382,10.06646031,11.37075225,5.50613582,5.578531852,5.289016042
